topic_id,topic_name,unit,items_count,question_count,difficulty_mix,calculator_marked,status,notes
U9.1.1,Pascal's Law,U9,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 9 subtopic items
U9.1.2,Pressure in a Fluid at Rest,U9,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 9 subtopic items
U9.2.1,Buoyancy and Archimedes' Principle,U9,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 9 subtopic items
U9.2.2,Buoyancy at Fluid Interfaces,U9,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 9 subtopic items
U9.3.1,Continuity Equation and Bernoulli,U9,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 9 subtopic items
U9.3.2,Applications of Bernoulli's Equation,U9,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 9 subtopic items
U10.1.1,Thermodynamic Systems and Surroundings,U10,3,3,F:1|S:1|C:1,no,submitted_for_review,Unit 10 subtopic items
U10.1.2,Internal Energy and Temperature,U10,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 10 subtopic items
U10.2.1,Ideal Gas Law,U10,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 10 subtopic items
U10.2.2,Thermal Equilibrium and Temperature,U10,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 10 subtopic items
U10.3.1,Thermodynamic Processes,U10,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 10 subtopic items
U10.4.1,Heat Transfer Mechanisms,U10,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 10 subtopic items
U10.4.2,First Law of Thermodynamics,U10,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 10 subtopic items
U10.4.3,Adiabatic Processes,U10,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 10 subtopic items
U10.5.1,Entropy and the Second Law,U10,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 10 subtopic items
U11.1.1,Coulomb's Law,U11,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 11 subtopic items
U11.1.2,Conductors and Insulators,U11,3,3,F:1|S:1|C:1,no,submitted_for_review,Unit 11 subtopic items
U11.1.3,Polarization,U11,3,3,F:1|S:1|C:1,no,submitted_for_review,Unit 11 subtopic items
U11.1.4,Electric Charge Properties,U11,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 11 subtopic items
U11.2.1,Conservation of Electric Charge,U11,3,3,F:1|S:1|C:1,no,submitted_for_review,Unit 11 subtopic items
U11.3.1,Electric Field Definition,U11,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 11 subtopic items
U11.3.2,Electric Field Lines,U11,3,3,F:1|S:1|C:1,no,submitted_for_review,Unit 11 subtopic items
U11.3.3,Force on a Point Charge,U11,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 11 subtopic items
U11.4.1,Electric Field of a Point Charge,U11,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 11 subtopic items
U11.4.2,Electric Field Uniform,U11,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 11 subtopic items
U11.4.3,Conductors in Equilibrium,U11,3,3,F:1|S:1|C:1,no,submitted_for_review,Unit 11 subtopic items
U11.4.4,Field Maps,U11,3,3,F:1|S:1|C:1,no,submitted_for_review,Unit 11 subtopic items
U11.5.1,Electric Potential Energy,U11,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 11 subtopic items
U11.5.2,Motion in Potential,U11,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 11 subtopic items
U11.6.1,Electric Potential of a Point Charge,U11,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 11 subtopic items
U11.6.2,Equipotential Surfaces,U11,3,3,F:1|S:1|C:1,no,submitted_for_review,Unit 11 subtopic items
U11.6.3,Parallel-Plate Capacitor Potential,U11,3,3,F:1|S:1|C:1,no,submitted_for_review,Unit 11 subtopic items
U12.1.1,Electric Current,U12,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 12 subtopic items
U12.1.2,Ohm's Law,U12,3,3,F:1|S:1|C:1,yes,submitted_for_review,Unit 12 subtopic items
