subject_slug,topic_id,topic_name,qa_file,question_number,difficulty,batch_id,depends_on_batches,status,review_state,owner,notes
igcse-addmath-0606,1.1,Simultaneous Equations and Elimination,items/topic_1.1.md,1,F,060001,,imported,pending,worker_course,Q-ID Q-1.1-1
igcse-addmath-0606,1.1,Simultaneous Equations and Elimination,items/topic_1.1.md,2,F,060001,,imported,pending,worker_course,Q-ID Q-1.1-2
igcse-addmath-0606,1.1,Simultaneous Equations and Elimination,items/topic_1.1.md,3,S,060001,,imported,pending,worker_course,Q-ID Q-1.1-3
igcse-addmath-0606,1.1,Simultaneous Equations and Elimination,items/topic_1.1.md,4,S,060001,,imported,pending,worker_course,Q-ID Q-1.1-4
igcse-addmath-0606,1.1,Simultaneous Equations and Elimination,items/topic_1.1.md,5,S,060001,,imported,pending,worker_course,Q-ID Q-1.1-5
igcse-addmath-0606,1.1,Simultaneous Equations and Elimination,items/topic_1.1.md,6,S,060001,,imported,pending,worker_course,Q-ID Q-1.1-6
igcse-addmath-0606,1.1,Simultaneous Equations and Elimination,items/topic_1.1.md,7,C,060001,,imported,pending,worker_course,Q-ID Q-1.1-7
igcse-addmath-0606,1.1,Simultaneous Equations and Elimination,items/topic_1.1.md,8,C,060001,,imported,pending,worker_course,Q-ID Q-1.1-8
igcse-addmath-0606,1.1,Simultaneous Equations and Elimination,items/topic_1.1.md,9,C,060001,,imported,pending,worker_course,Q-ID Q-1.1-9
igcse-addmath-0606,1.2,Algebraic Manipulation,items/topic_1.2.md,1,F,060002,,imported,pending,worker_course,Q-ID Q-1.2-1
igcse-addmath-0606,1.2,Algebraic Manipulation,items/topic_1.2.md,2,F,060002,,imported,pending,worker_course,Q-ID Q-1.2-2
igcse-addmath-0606,1.2,Algebraic Manipulation,items/topic_1.2.md,3,S,060002,,imported,pending,worker_course,Q-ID Q-1.2-3
igcse-addmath-0606,1.2,Algebraic Manipulation,items/topic_1.2.md,4,S,060002,,imported,pending,worker_course,Q-ID Q-1.2-4
igcse-addmath-0606,1.2,Algebraic Manipulation,items/topic_1.2.md,5,S,060002,,imported,pending,worker_course,Q-ID Q-1.2-5
igcse-addmath-0606,1.2,Algebraic Manipulation,items/topic_1.2.md,6,S,060002,,imported,pending,worker_course,Q-ID Q-1.2-6
igcse-addmath-0606,1.2,Algebraic Manipulation,items/topic_1.2.md,7,C,060002,,imported,pending,worker_course,Q-ID Q-1.2-7
igcse-addmath-0606,1.2,Algebraic Manipulation,items/topic_1.2.md,8,C,060002,,imported,pending,worker_course,Q-ID Q-1.2-8
igcse-addmath-0606,1.2,Algebraic Manipulation,items/topic_1.2.md,9,C,060002,,imported,pending,worker_course,Q-ID Q-1.2-9
igcse-addmath-0606,1.3,"Functions: Domain, Range, Inverse, Composite",items/topic_1.3.md,1,F,060003,,imported,pending,worker_course,Q-ID Q-1.3-1
igcse-addmath-0606,1.3,"Functions: Domain, Range, Inverse, Composite",items/topic_1.3.md,2,F,060003,,imported,pending,worker_course,Q-ID Q-1.3-2
igcse-addmath-0606,1.3,"Functions: Domain, Range, Inverse, Composite",items/topic_1.3.md,3,S,060003,,imported,pending,worker_course,Q-ID Q-1.3-3
igcse-addmath-0606,1.3,"Functions: Domain, Range, Inverse, Composite",items/topic_1.3.md,4,S,060003,,imported,pending,worker_course,Q-ID Q-1.3-4
igcse-addmath-0606,1.3,"Functions: Domain, Range, Inverse, Composite",items/topic_1.3.md,5,S,060003,,imported,pending,worker_course,Q-ID Q-1.3-5
igcse-addmath-0606,1.3,"Functions: Domain, Range, Inverse, Composite",items/topic_1.3.md,6,S,060003,,imported,pending,worker_course,Q-ID Q-1.3-6
igcse-addmath-0606,1.3,"Functions: Domain, Range, Inverse, Composite",items/topic_1.3.md,7,C,060003,,imported,pending,worker_course,Q-ID Q-1.3-7
igcse-addmath-0606,1.3,"Functions: Domain, Range, Inverse, Composite",items/topic_1.3.md,8,C,060003,,imported,pending,worker_course,Q-ID Q-1.3-8
igcse-addmath-0606,1.3,"Functions: Domain, Range, Inverse, Composite",items/topic_1.3.md,9,C,060003,,imported,pending,worker_course,Q-ID Q-1.3-9
