subject_slug,topic_id,question_count,difficulty_mix,source_layers,source_files
igcse-accounting-0452,1.1,19,F:13|S:6,"items,qa,qa-question-level",items/1-1-items.md;qa-question-level/1-1-purpose-of-accounting-q-1.1-01.md;qa-question-level/1-1-purpose-of-accounting-q-1.1-02.md;qa-question-level/1-1-purpose-of-accounting-q-1.1-03.md;qa-question-level/1-1-purpose-of-accounting-q-1.1-04.md;qa-question-level/1-1-purpose-of-accounting-q-1.1-05.md;qa-question-level/1-1-purpose-of-accounting-q-1.1-06.md;qa-question-level/1-1-purpose-of-accounting-q-1.1-07.md;qa-question-level/1-1-purpose-of-accounting-q-1.1-08.md;qa-question-level/1-1-purpose-of-accounting-q-1.1-09.md;qa/1-1-purpose-of-accounting.md
igcse-accounting-0452,1.2,19,C:2|F:11|S:6,"items,qa,qa-question-level",items/1-2-items.md;qa-question-level/1-2-users-of-accounting-q-1.2-01.md;qa-question-level/1-2-users-of-accounting-q-1.2-02.md;qa-question-level/1-2-users-of-accounting-q-1.2-03.md;qa-question-level/1-2-users-of-accounting-q-1.2-04.md;qa-question-level/1-2-users-of-accounting-q-1.2-05.md;qa-question-level/1-2-users-of-accounting-q-1.2-06.md;qa-question-level/1-2-users-of-accounting-q-1.2-07.md;qa-question-level/1-2-users-of-accounting-q-1.2-08.md;qa-question-level/1-2-users-of-accounting-q-1.2-09.md;qa/1-2-users-of-accounting.md
igcse-accounting-0452,1.3,19,C:2|F:9|S:8,"items,qa,qa-question-level",items/1-3-items.md;qa-question-level/1-3-assets-liabilities-capital-q-1.3-01.md;qa-question-level/1-3-assets-liabilities-capital-q-1.3-02.md;qa-question-level/1-3-assets-liabilities-capital-q-1.3-03.md;qa-question-level/1-3-assets-liabilities-capital-q-1.3-04.md;qa-question-level/1-3-assets-liabilities-capital-q-1.3-05.md;qa-question-level/1-3-assets-liabilities-capital-q-1.3-06.md;qa-question-level/1-3-assets-liabilities-capital-q-1.3-07.md;qa-question-level/1-3-assets-liabilities-capital-q-1.3-08.md;qa-question-level/1-3-assets-liabilities-capital-q-1.3-09.md;qa/1-3-assets-liabilities-capital.md
igcse-accounting-0452,1.4,19,C:2|F:9|S:8,"items,qa,qa-question-level",items/1-4-items.md;qa-question-level/1-4-accounting-equation-q-1.4-01.md;qa-question-level/1-4-accounting-equation-q-1.4-02.md;qa-question-level/1-4-accounting-equation-q-1.4-03.md;qa-question-level/1-4-accounting-equation-q-1.4-04.md;qa-question-level/1-4-accounting-equation-q-1.4-05.md;qa-question-level/1-4-accounting-equation-q-1.4-06.md;qa-question-level/1-4-accounting-equation-q-1.4-07.md;qa-question-level/1-4-accounting-equation-q-1.4-08.md;qa-question-level/1-4-accounting-equation-q-1.4-09.md;qa/1-4-accounting-equation.md
igcse-accounting-0452,1.5,19,C:2|F:9|S:8,"items,qa,qa-question-level",items/1-5-items.md;qa-question-level/1-5-capital-and-revenue-q-1.5-01.md;qa-question-level/1-5-capital-and-revenue-q-1.5-02.md;qa-question-level/1-5-capital-and-revenue-q-1.5-03.md;qa-question-level/1-5-capital-and-revenue-q-1.5-04.md;qa-question-level/1-5-capital-and-revenue-q-1.5-05.md;qa-question-level/1-5-capital-and-revenue-q-1.5-06.md;qa-question-level/1-5-capital-and-revenue-q-1.5-07.md;qa-question-level/1-5-capital-and-revenue-q-1.5-08.md;qa-question-level/1-5-capital-and-revenue-q-1.5-09.md;qa/1-5-capital-and-revenue.md
igcse-accounting-0452,2.1,19,C:2|F:9|S:8,"items,qa,qa-question-level",items/2-1-items.md;qa-question-level/2-1-source-documents-q-2.1-01.md;qa-question-level/2-1-source-documents-q-2.1-02.md;qa-question-level/2-1-source-documents-q-2.1-03.md;qa-question-level/2-1-source-documents-q-2.1-04.md;qa-question-level/2-1-source-documents-q-2.1-05.md;qa-question-level/2-1-source-documents-q-2.1-06.md;qa-question-level/2-1-source-documents-q-2.1-07.md;qa-question-level/2-1-source-documents-q-2.1-08.md;qa-question-level/2-1-source-documents-q-2.1-09.md;qa/2-1-source-documents.md
igcse-accounting-0452,2.2,19,C:4|F:7|S:8,"items,qa,qa-question-level",items/2-2-items.md;qa-question-level/2-2-double-entry-rules-q-2.2-01.md;qa-question-level/2-2-double-entry-rules-q-2.2-02.md;qa-question-level/2-2-double-entry-rules-q-2.2-03.md;qa-question-level/2-2-double-entry-rules-q-2.2-04.md;qa-question-level/2-2-double-entry-rules-q-2.2-05.md;qa-question-level/2-2-double-entry-rules-q-2.2-06.md;qa-question-level/2-2-double-entry-rules-q-2.2-07.md;qa-question-level/2-2-double-entry-rules-q-2.2-08.md;qa-question-level/2-2-double-entry-rules-q-2.2-09.md;qa/2-2-double-entry-rules.md
igcse-accounting-0452,2.3,19,C:2|F:9|S:8,"items,qa,qa-question-level",items/2-3-items.md;qa-question-level/2-3-books-of-original-entry-q-2.3-01.md;qa-question-level/2-3-books-of-original-entry-q-2.3-02.md;qa-question-level/2-3-books-of-original-entry-q-2.3-03.md;qa-question-level/2-3-books-of-original-entry-q-2.3-04.md;qa-question-level/2-3-books-of-original-entry-q-2.3-05.md;qa-question-level/2-3-books-of-original-entry-q-2.3-06.md;qa-question-level/2-3-books-of-original-entry-q-2.3-07.md;qa-question-level/2-3-books-of-original-entry-q-2.3-08.md;qa-question-level/2-3-books-of-original-entry-q-2.3-09.md;qa/2-3-books-of-original-entry.md
igcse-accounting-0452,2.4,19,C:4|F:7|S:8,"items,qa,qa-question-level",items/2-4-items.md;qa-question-level/2-4-the-ledger-q-2.4-01.md;qa-question-level/2-4-the-ledger-q-2.4-02.md;qa-question-level/2-4-the-ledger-q-2.4-03.md;qa-question-level/2-4-the-ledger-q-2.4-04.md;qa-question-level/2-4-the-ledger-q-2.4-05.md;qa-question-level/2-4-the-ledger-q-2.4-06.md;qa-question-level/2-4-the-ledger-q-2.4-07.md;qa-question-level/2-4-the-ledger-q-2.4-08.md;qa-question-level/2-4-the-ledger-q-2.4-09.md;qa/2-4-ledger.md
igcse-accounting-0452,2.5,19,C:4|F:9|S:6,"items,qa,qa-question-level",items/2-5-items.md;qa-question-level/2-5-the-cash-book-q-2.5-01.md;qa-question-level/2-5-the-cash-book-q-2.5-02.md;qa-question-level/2-5-the-cash-book-q-2.5-03.md;qa-question-level/2-5-the-cash-book-q-2.5-04.md;qa-question-level/2-5-the-cash-book-q-2.5-05.md;qa-question-level/2-5-the-cash-book-q-2.5-06.md;qa-question-level/2-5-the-cash-book-q-2.5-07.md;qa-question-level/2-5-the-cash-book-q-2.5-08.md;qa-question-level/2-5-the-cash-book-q-2.5-09.md;qa/2-5-cash-book.md
